test,xprize_subdomain,idtype_label,sex_label,age_measure_bin,n_obs,n_subjects
dsb,Executive Function & Processing,Original,Men,75-79,170,135
dsb,Executive Function & Processing,Offspring,Men,75-79,455,370
dsb,Executive Function & Processing,Gen3,Men,75-79,4,4
dsb,Executive Function & Processing,Original,Men,80-84,316,202
dsb,Executive Function & Processing,Offspring,Men,80-84,305,228
dsb,Executive Function & Processing,Gen3,Men,80-84,0,0
dsb,Executive Function & Processing,Original,Men,85-89,343,169
dsb,Executive Function & Processing,Offspring,Men,85-89,136,109
dsb,Executive Function & Processing,Gen3,Men,85-89,0,0
dsb,Executive Function & Processing,Original,Men,>=90,188,98
dsb,Executive Function & Processing,Offspring,Men,>=90,30,23
dsb,Executive Function & Processing,Gen3,Men,>=90,0,0
dsf,Attention,Original,Women,<30,0,0
dsf,Attention,Offspring,Women,<30,0,0
dsf,Attention,Gen3,Women,<30,26,26
dsf,Attention,Original,Women,30-34,0,0
dsf,Attention,Offspring,Women,30-34,0,0
dsf,Attention,Gen3,Women,30-34,76,76
dsf,Attention,Original,Women,35-39,0,0
dsf,Attention,Offspring,Women,35-39,0,0
dsf,Attention,Gen3,Women,35-39,158,158
dsf,Attention,Original,Women,40-44,0,0
dsf,Attention,Offspring,Women,40-44,6,6
dsf,Attention,Gen3,Women,40-44,274,272
dsf,Attention,Original,Women,45-49,0,0
dsf,Attention,Offspring,Women,45-49,16,14
dsf,Attention,Gen3,Women,45-49,369,366
dsf,Attention,Original,Women,50-54,0,0
dsf,Attention,Offspring,Women,50-54,94,80
dsf,Attention,Gen3,Women,50-54,398,396
dsf,Attention,Original,Women,55-59,0,0
dsf,Attention,Offspring,Women,55-59,235,212
dsf,Attention,Gen3,Women,55-59,342,341
dsf,Attention,Original,Women,60-64,6,6
dsf,Attention,Offspring,Women,60-64,409,372
dsf,Attention,Gen3,Women,60-64,206,203
dsf,Attention,Original,Women,65-69,47,46
dsf,Attention,Offspring,Women,65-69,554,501
dsf,Attention,Gen3,Women,65-69,76,74
dsf,Attention,Original,Women,70-74,93,87
dsf,Attention,Offspring,Women,70-74,550,473
dsf,Attention,Gen3,Women,70-74,17,17
dsf,Attention,Original,Women,75-79,195,165
dsf,Attention,Offspring,Women,75-79,540,416
dsf,Attention,Gen3,Women,75-79,4,4
dsf,Attention,Original,Women,80-84,544,332
dsf,Attention,Offspring,Women,80-84,380,299
dsf,Attention,Gen3,Women,80-84,1,1
dsf,Attention,Original,Women,85-89,732,402
dsf,Attention,Offspring,Women,85-89,196,161
dsf,Attention,Gen3,Women,85-89,1,1
dsf,Attention,Original,Women,>=90,575,294
dsf,Attention,Offspring,Women,>=90,75,56
dsf,Attention,Gen3,Women,>=90,0,0
dsf,Attention,Original,Men,<30,0,0
dsf,Attention,Offspring,Men,<30,0,0
dsf,Attention,Gen3,Men,<30,18,18
dsf,Attention,Original,Men,30-34,0,0
dsf,Attention,Offspring,Men,30-34,0,0
dsf,Attention,Gen3,Men,30-34,61,61
dsf,Attention,Original,Men,35-39,0,0
dsf,Attention,Offspring,Men,35-39,0,0
dsf,Attention,Gen3,Men,35-39,119,119
dsf,Attention,Original,Men,40-44,0,0
dsf,Attention,Offspring,Men,40-44,4,4
dsf,Attention,Gen3,Men,40-44,205,205
dsf,Attention,Original,Men,45-49,0,0
dsf,Attention,Offspring,Men,45-49,24,23
dsf,Attention,Gen3,Men,45-49,351,347
dsf,Attention,Original,Men,50-54,0,0
dsf,Attention,Offspring,Men,50-54,57,55
dsf,Attention,Gen3,Men,50-54,363,359
dsf,Attention,Original,Men,55-59,0,0
dsf,Attention,Offspring,Men,55-59,176,163
dsf,Attention,Gen3,Men,55-59,322,316
dsf,Attention,Original,Men,60-64,3,3
dsf,Attention,Offspring,Men,60-64,345,308
dsf,Attention,Gen3,Men,60-64,204,199
dsf,Attention,Original,Men,65-69,59,57
dsf,Attention,Offspring,Men,65-69,442,391
dsf,Attention,Gen3,Men,65-69,76,69
dsf,Attention,Original,Men,70-74,124,115
dsf,Attention,Offspring,Men,70-74,487,434
dsf,Attention,Gen3,Men,70-74,22,20
dsf,Attention,Original,Men,75-79,172,137
dsf,Attention,Offspring,Men,75-79,462,372
dsf,Attention,Gen3,Men,75-79,4,4
dsf,Attention,Original,Men,80-84,319,202
dsf,Attention,Offspring,Men,80-84,309,233
dsf,Attention,Gen3,Men,80-84,0,0
dsf,Attention,Original,Men,85-89,346,172
dsf,Attention,Offspring,Men,85-89,141,113
dsf,Attention,Gen3,Men,85-89,0,0
dsf,Attention,Original,Men,>=90,194,98
dsf,Attention,Offspring,Men,>=90,31,24
dsf,Attention,Gen3,Men,>=90,0,0
lmd,Memory,Original,Women,<30,0,0
lmd,Memory,Offspring,Women,<30,0,0
lmd,Memory,Gen3,Women,<30,25,25
lmd,Memory,Original,Women,30-34,0,0
lmd,Memory,Offspring,Women,30-34,1,1
lmd,Memory,Gen3,Women,30-34,75,75
lmd,Memory,Original,Women,35-39,0,0
lmd,Memory,Offspring,Women,35-39,9,8
lmd,Memory,Gen3,Women,35-39,157,157
lmd,Memory,Original,Women,40-44,0,0
lmd,Memory,Offspring,Women,40-44,29,29
lmd,Memory,Gen3,Women,40-44,273,271
lmd,Memory,Original,Women,45-49,0,0
lmd,Memory,Offspring,Women,45-49,114,108
lmd,Memory,Gen3,Women,45-49,368,365
lmd,Memory,Original,Women,50-54,0,0
lmd,Memory,Offspring,Women,50-54,336,305
lmd,Memory,Gen3,Women,50-54,397,395
lmd,Memory,Original,Women,55-59,0,0
lmd,Memory,Offspring,Women,55-59,528,485
lmd,Memory,Gen3,Women,55-59,340,339
lmd,Memory,Original,Women,60-64,5,5
lmd,Memory,Offspring,Women,60-64,643,582
lmd,Memory,Gen3,Women,60-64,209,206
lmd,Memory,Original,Women,65-69,46,45
lmd,Memory,Offspring,Women,65-69,785,705
lmd,Memory,Gen3,Women,65-69,77,75
lmd,Memory,Original,Women,70-74,93,87
lmd,Memory,Offspring,Women,70-74,718,627
lmd,Memory,Gen3,Women,70-74,16,16
lmd,Memory,Original,Women,75-79,197,166
lmd,Memory,Offspring,Women,75-79,641,502
lmd,Memory,Gen3,Women,75-79,4,4
lmd,Memory,Original,Women,80-84,555,340
lmd,Memory,Offspring,Women,80-84,411,317
lmd,Memory,Gen3,Women,80-84,1,1
lmd,Memory,Original,Women,85-89,742,401
lmd,Memory,Offspring,Women,85-89,202,165
lmd,Memory,Gen3,Women,85-89,1,1
lmd,Memory,Original,Women,>=90,567,292
lmd,Memory,Offspring,Women,>=90,73,52
lmd,Memory,Gen3,Women,>=90,0,0
lmd,Memory,Original,Men,<30,0,0
lmd,Memory,Offspring,Men,<30,0,0
lmd,Memory,Gen3,Men,<30,19,19
lmd,Memory,Original,Men,30-34,0,0
lmd,Memory,Offspring,Men,30-34,0,0
lmd,Memory,Gen3,Men,30-34,61,61
lmd,Memory,Original,Men,35-39,0,0
lmd,Memory,Offspring,Men,35-39,6,6
lmd,Memory,Gen3,Men,35-39,119,119
lmd,Memory,Original,Men,40-44,0,0
lmd,Memory,Offspring,Men,40-44,32,32
lmd,Memory,Gen3,Men,40-44,204,204
lmd,Memory,Original,Men,45-49,0,0
lmd,Memory,Offspring,Men,45-49,104,101
lmd,Memory,Gen3,Men,45-49,351,347
lmd,Memory,Original,Men,50-54,0,0
lmd,Memory,Offspring,Men,50-54,242,234
lmd,Memory,Gen3,Men,50-54,365,361
lmd,Memory,Original,Men,55-59,0,0
lmd,Memory,Offspring,Men,55-59,411,379
lmd,Memory,Gen3,Men,55-59,321,315
lmd,Memory,Original,Men,60-64,2,2
lmd,Memory,Offspring,Men,60-64,569,519
lmd,Memory,Gen3,Men,60-64,205,199
lmd,Memory,Original,Men,65-69,60,58
lmd,Memory,Offspring,Men,65-69,638,565
lmd,Memory,Gen3,Men,65-69,76,69
lmd,Memory,Original,Men,70-74,124,115
lmd,Memory,Offspring,Men,70-74,645,579
lmd,Memory,Gen3,Men,70-74,21,19
lmd,Memory,Original,Men,75-79,169,135
lmd,Memory,Offspring,Men,75-79,552,451
lmd,Memory,Gen3,Men,75-79,4,4
lmd,Memory,Original,Men,80-84,327,208
lmd,Memory,Offspring,Men,80-84,336,251
lmd,Memory,Gen3,Men,80-84,0,0
lmd,Memory,Original,Men,85-89,347,169
lmd,Memory,Offspring,Men,85-89,143,113
lmd,Memory,Gen3,Men,85-89,0,0
lmd,Memory,Original,Men,>=90,195,100
lmd,Memory,Offspring,Men,>=90,30,23
lmd,Memory,Gen3,Men,>=90,0,0
lmi,Memory,Original,Women,<30,0,0
lmi,Memory,Offspring,Women,<30,0,0
lmi,Memory,Gen3,Women,<30,26,26
lmi,Memory,Original,Women,30-34,0,0
lmi,Memory,Offspring,Women,30-34,1,1
lmi,Memory,Gen3,Women,30-34,74,74
lmi,Memory,Original,Women,35-39,0,0
lmi,Memory,Offspring,Women,35-39,9,8
lmi,Memory,Gen3,Women,35-39,157,157
lmi,Memory,Original,Women,40-44,0,0
lmi,Memory,Offspring,Women,40-44,29,29
lmi,Memory,Gen3,Women,40-44,272,270
lmi,Memory,Original,Women,45-49,0,0
lmi,Memory,Offspring,Women,45-49,114,108
lmi,Memory,Gen3,Women,45-49,367,364
lmi,Memory,Original,Women,50-54,0,0
lmi,Memory,Offspring,Women,50-54,336,305
lmi,Memory,Gen3,Women,50-54,397,395
lmi,Memory,Original,Women,55-59,0,0
lmi,Memory,Offspring,Women,55-59,531,487
lmi,Memory,Gen3,Women,55-59,340,339
lmi,Memory,Original,Women,60-64,5,5
lmi,Memory,Offspring,Women,60-64,643,582
lmi,Memory,Gen3,Women,60-64,208,205
lmi,Memory,Original,Women,65-69,47,46
lmi,Memory,Offspring,Women,65-69,786,705
lmi,Memory,Gen3,Women,65-69,76,74
lmi,Memory,Original,Women,70-74,96,89
lmi,Memory,Offspring,Women,70-74,720,629
lmi,Memory,Gen3,Women,70-74,16,16
lmi,Memory,Original,Women,75-79,198,166
lmi,Memory,Offspring,Women,75-79,650,510
lmi,Memory,Gen3,Women,75-79,4,4
lmi,Memory,Original,Women,80-84,560,343
lmi,Memory,Offspring,Women,80-84,413,318
lmi,Memory,Gen3,Women,80-84,1,1
lmi,Memory,Original,Women,85-89,759,412
lmi,Memory,Offspring,Women,85-89,204,166
lmi,Memory,Gen3,Women,85-89,1,1
lmi,Memory,Original,Women,>=90,585,297
lmi,Memory,Offspring,Women,>=90,77,55
lmi,Memory,Gen3,Women,>=90,0,0
lmi,Memory,Original,Men,<30,0,0
lmi,Memory,Offspring,Men,<30,0,0
lmi,Memory,Gen3,Men,<30,18,18
lmi,Memory,Original,Men,30-34,0,0
lmi,Memory,Offspring,Men,30-34,0,0
lmi,Memory,Gen3,Men,30-34,61,61
lmi,Memory,Original,Men,35-39,0,0
lmi,Memory,Offspring,Men,35-39,6,6
lmi,Memory,Gen3,Men,35-39,119,119
lmi,Memory,Original,Men,40-44,0,0
lmi,Memory,Offspring,Men,40-44,32,32
lmi,Memory,Gen3,Men,40-44,204,204
lmi,Memory,Original,Men,45-49,0,0
lmi,Memory,Offspring,Men,45-49,104,101
lmi,Memory,Gen3,Men,45-49,349,345
lmi,Memory,Original,Men,50-54,0,0
lmi,Memory,Offspring,Men,50-54,243,235
lmi,Memory,Gen3,Men,50-54,364,360
lmi,Memory,Original,Men,55-59,0,0
lmi,Memory,Offspring,Men,55-59,411,379
lmi,Memory,Gen3,Men,55-59,319,313
lmi,Memory,Original,Men,60-64,3,3
lmi,Memory,Offspring,Men,60-64,569,519
lmi,Memory,Gen3,Men,60-64,205,199
lmi,Memory,Original,Men,65-69,60,58
lmi,Memory,Offspring,Men,65-69,638,565
lmi,Memory,Gen3,Men,65-69,77,70
lmi,Memory,Original,Men,70-74,124,115
lmi,Memory,Offspring,Men,70-74,646,580
lmi,Memory,Gen3,Men,70-74,21,19
lmi,Memory,Original,Men,75-79,174,138
lmi,Memory,Offspring,Men,75-79,554,451
lmi,Memory,Gen3,Men,75-79,4,4
lmi,Memory,Original,Men,80-84,331,209
lmi,Memory,Offspring,Men,80-84,342,253
lmi,Memory,Gen3,Men,80-84,0,0
lmi,Memory,Original,Men,85-89,357,177
lmi,Memory,Offspring,Men,85-89,145,114
lmi,Memory,Gen3,Men,85-89,0,0
lmi,Memory,Original,Men,>=90,199,102
lmi,Memory,Offspring,Men,>=90,31,24
lmi,Memory,Gen3,Men,>=90,0,0
lmr,Memory,Original,Women,<30,0,0
lmr,Memory,Offspring,Women,<30,0,0
lmr,Memory,Gen3,Women,<30,25,25
lmr,Memory,Original,Women,30-34,0,0
lmr,Memory,Offspring,Women,30-34,1,1
lmr,Memory,Gen3,Women,30-34,76,76
lmr,Memory,Original,Women,35-39,0,0
lmr,Memory,Offspring,Women,35-39,9,8
lmr,Memory,Gen3,Women,35-39,154,154
lmr,Memory,Original,Women,40-44,0,0
lmr,Memory,Offspring,Women,40-44,29,29
lmr,Memory,Gen3,Women,40-44,264,262
lmr,Memory,Original,Women,45-49,0,0
lmr,Memory,Offspring,Women,45-49,113,107
lmr,Memory,Gen3,Women,45-49,343,340
lmr,Memory,Original,Women,50-54,0,0
lmr,Memory,Offspring,Women,50-54,334,305
lmr,Memory,Gen3,Women,50-54,374,373
lmr,Memory,Original,Women,55-59,0,0
lmr,Memory,Offspring,Women,55-59,525,483
lmr,Memory,Gen3,Women,55-59,309,308
lmr,Memory,Original,Women,60-64,0,0
lmr,Memory,Offspring,Women,60-64,638,579
lmr,Memory,Gen3,Women,60-64,193,191
lmr,Memory,Original,Women,65-69,0,0
lmr,Memory,Offspring,Women,65-69,774,694
lmr,Memory,Gen3,Women,65-69,70,68
lmr,Memory,Original,Women,70-74,0,0
lmr,Memory,Offspring,Women,70-74,700,613
lmr,Memory,Gen3,Women,70-74,13,13
lmr,Memory,Original,Women,75-79,8,8
lmr,Memory,Offspring,Women,75-79,626,497
lmr,Memory,Gen3,Women,75-79,4,4
lmr,Memory,Original,Women,80-84,315,156
lmr,Memory,Offspring,Women,80-84,411,317
lmr,Memory,Gen3,Women,80-84,1,1
lmr,Memory,Original,Women,85-89,479,230
lmr,Memory,Offspring,Women,85-89,194,159
lmr,Memory,Gen3,Women,85-89,1,1
lmr,Memory,Original,Women,>=90,402,201
lmr,Memory,Offspring,Women,>=90,71,53
lmr,Memory,Gen3,Women,>=90,0,0
lmr,Memory,Original,Men,<30,0,0
lmr,Memory,Offspring,Men,<30,0,0
lmr,Memory,Gen3,Men,<30,19,19
lmr,Memory,Original,Men,30-34,0,0
lmr,Memory,Offspring,Men,30-34,0,0
lmr,Memory,Gen3,Men,30-34,59,59
lmr,Memory,Original,Men,35-39,0,0
lmr,Memory,Offspring,Men,35-39,6,6
lmr,Memory,Gen3,Men,35-39,114,114
lmr,Memory,Original,Men,40-44,0,0
lmr,Memory,Offspring,Men,40-44,32,32
lmr,Memory,Gen3,Men,40-44,196,196
lmr,Memory,Original,Men,45-49,0,0
lmr,Memory,Offspring,Men,45-49,102,99
lmr,Memory,Gen3,Men,45-49,323,322
lmr,Memory,Original,Men,50-54,0,0
lmr,Memory,Offspring,Men,50-54,241,234
lmr,Memory,Gen3,Men,50-54,322,319
lmr,Memory,Original,Men,55-59,0,0
lmr,Memory,Offspring,Men,55-59,409,377
lmr,Memory,Gen3,Men,55-59,293,289
lmr,Memory,Original,Men,60-64,0,0
lmr,Memory,Offspring,Men,60-64,553,507
lmr,Memory,Gen3,Men,60-64,183,179
lmr,Memory,Original,Men,65-69,0,0
lmr,Memory,Offspring,Men,65-69,624,556
lmr,Memory,Gen3,Men,65-69,67,62
lmr,Memory,Original,Men,70-74,0,0
lmr,Memory,Offspring,Men,70-74,618,558
lmr,Memory,Gen3,Men,70-74,17,16
lmr,Memory,Original,Men,75-79,1,1
lmr,Memory,Offspring,Men,75-79,541,442
lmr,Memory,Gen3,Men,75-79,4,4
lmr,Memory,Original,Men,80-84,171,93
lmr,Memory,Offspring,Men,80-84,332,248
lmr,Memory,Gen3,Men,80-84,0,0
lmr,Memory,Original,Men,85-89,260,109
lmr,Memory,Offspring,Men,85-89,143,114
lmr,Memory,Gen3,Men,85-89,0,0
lmr,Memory,Original,Men,>=90,163,79
lmr,Memory,Offspring,Men,>=90,30,23
lmr,Memory,Gen3,Men,>=90,0,0
pasd,Memory,Original,Women,<30,0,0
pasd,Memory,Offspring,Women,<30,0,0
pasd,Memory,Gen3,Women,<30,25,25
pasd,Memory,Original,Women,30-34,0,0
pasd,Memory,Offspring,Women,30-34,1,1
pasd,Memory,Gen3,Women,30-34,76,76
pasd,Memory,Original,Women,35-39,0,0
pasd,Memory,Offspring,Women,35-39,9,8
pasd,Memory,Gen3,Women,35-39,155,155
pasd,Memory,Original,Women,40-44,0,0
pasd,Memory,Offspring,Women,40-44,29,29
pasd,Memory,Gen3,Women,40-44,262,260
pasd,Memory,Original,Women,45-49,0,0
pasd,Memory,Offspring,Women,45-49,113,107
pasd,Memory,Gen3,Women,45-49,334,332
pasd,Memory,Original,Women,50-54,0,0
pasd,Memory,Offspring,Women,50-54,333,304
pasd,Memory,Gen3,Women,50-54,369,368
pasd,Memory,Original,Women,55-59,0,0
pasd,Memory,Offspring,Women,55-59,525,482
pasd,Memory,Gen3,Women,55-59,305,304
pasd,Memory,Original,Women,60-64,0,0
pasd,Memory,Offspring,Women,60-64,635,576
pasd,Memory,Gen3,Women,60-64,188,186
pasd,Memory,Original,Women,65-69,0,0
pasd,Memory,Offspring,Women,65-69,768,689
pasd,Memory,Gen3,Women,65-69,69,67
pasd,Memory,Original,Women,70-74,0,0
pasd,Memory,Offspring,Women,70-74,692,609
pasd,Memory,Gen3,Women,70-74,14,14
pasd,Memory,Original,Women,75-79,8,8
pasd,Memory,Offspring,Women,75-79,608,485
pasd,Memory,Gen3,Women,75-79,4,4
pasd,Memory,Original,Women,80-84,307,153
pasd,Memory,Offspring,Women,80-84,396,309
pasd,Memory,Gen3,Women,80-84,1,1
pasd,Memory,Original,Women,85-89,461,225
pasd,Memory,Offspring,Women,85-89,182,148
pasd,Memory,Gen3,Women,85-89,1,1
pasd,Memory,Original,Women,>=90,375,192
pasd,Memory,Offspring,Women,>=90,66,50
pasd,Memory,Gen3,Women,>=90,0,0
pasd,Memory,Original,Men,<30,0,0
pasd,Memory,Offspring,Men,<30,0,0
pasd,Memory,Gen3,Men,<30,19,19
pasd,Memory,Original,Men,30-34,0,0
pasd,Memory,Offspring,Men,30-34,0,0
pasd,Memory,Gen3,Men,30-34,58,58
pasd,Memory,Original,Men,35-39,0,0
pasd,Memory,Offspring,Men,35-39,6,6
pasd,Memory,Gen3,Men,35-39,115,115
pasd,Memory,Original,Men,40-44,0,0
