model_version,test,equation,term,estimate,std_error,p_value,n_obs
crude_2visit,pasr,first_followup_retest,I(age_fu1^2):sex_labelMen,0.00,0.00,0.023,2556
crude_2visit,trailsa,baseline_firsttest,(Intercept),1.37,0.12,0.000,3725
crude_2visit,trailsa,baseline_firsttest,age_bl,-0.04,0.00,0.000,3725
crude_2visit,trailsa,baseline_firsttest,I(age_bl^2),0.00,0.00,0.000,3725
crude_2visit,trailsa,baseline_firsttest,sex_labelMen,-0.39,0.19,0.040,3725
crude_2visit,trailsa,baseline_firsttest,age_bl:sex_labelMen,0.02,0.01,0.015,3725
crude_2visit,trailsa,baseline_firsttest,I(age_bl^2):sex_labelMen,0.00,0.00,0.008,3725
crude_2visit,trailsa,first_followup_retest,(Intercept),2.72,0.28,0.000,3725
crude_2visit,trailsa,first_followup_retest,age_fu1,-0.09,0.01,0.000,3725
crude_2visit,trailsa,first_followup_retest,I(age_fu1^2),0.00,0.00,0.000,3725
crude_2visit,trailsa,first_followup_retest,sex_labelMen,-1.55,0.43,0.000,3725
crude_2visit,trailsa,first_followup_retest,age_fu1:sex_labelMen,0.05,0.01,0.000,3725
crude_2visit,trailsa,first_followup_retest,I(age_fu1^2):sex_labelMen,0.00,0.00,0.000,3725
crude_2visit,trailsb,baseline_firsttest,(Intercept),5.36,0.49,0.000,3630
crude_2visit,trailsb,baseline_firsttest,age_bl,-0.19,0.02,0.000,3630
crude_2visit,trailsb,baseline_firsttest,I(age_bl^2),0.00,0.00,0.000,3630
crude_2visit,trailsb,baseline_firsttest,sex_labelMen,-0.29,0.75,0.701,3630
crude_2visit,trailsb,baseline_firsttest,age_bl:sex_labelMen,0.01,0.02,0.567,3630
crude_2visit,trailsb,baseline_firsttest,I(age_bl^2):sex_labelMen,0.00,0.00,0.490,3630
crude_2visit,trailsb,first_followup_retest,(Intercept),8.60,0.81,0.000,3630
crude_2visit,trailsb,first_followup_retest,age_fu1,-0.30,0.02,0.000,3630
crude_2visit,trailsb,first_followup_retest,I(age_fu1^2),0.00,0.00,0.000,3630
crude_2visit,trailsb,first_followup_retest,sex_labelMen,-0.83,1.24,0.501,3630
crude_2visit,trailsb,first_followup_retest,age_fu1:sex_labelMen,0.03,0.04,0.413,3630
crude_2visit,trailsb,first_followup_retest,I(age_fu1^2):sex_labelMen,0.00,0.00,0.346,3630
crude_2visit,vrd,baseline_firsttest,(Intercept),6.40,1.08,0.000,4114
crude_2visit,vrd,baseline_firsttest,age_bl,0.20,0.04,0.000,4114
crude_2visit,vrd,baseline_firsttest,I(age_bl^2),0.00,0.00,0.000,4114
crude_2visit,vrd,baseline_firsttest,sex_labelMen,3.15,1.70,0.064,4114
crude_2visit,vrd,baseline_firsttest,age_bl:sex_labelMen,-0.11,0.06,0.062,4114
crude_2visit,vrd,baseline_firsttest,I(age_bl^2):sex_labelMen,0.00,0.00,0.053,4114
crude_2visit,vrd,first_followup_retest,(Intercept),5.87,1.43,0.000,4114
crude_2visit,vrd,first_followup_retest,age_fu1,0.23,0.04,0.000,4114
crude_2visit,vrd,first_followup_retest,I(age_fu1^2),0.00,0.00,0.000,4114
crude_2visit,vrd,first_followup_retest,sex_labelMen,4.67,2.23,0.036,4114
crude_2visit,vrd,first_followup_retest,age_fu1:sex_labelMen,-0.14,0.07,0.040,4114
crude_2visit,vrd,first_followup_retest,I(age_fu1^2):sex_labelMen,0.00,0.00,0.037,4114
crude_2visit,vri,baseline_firsttest,(Intercept),6.04,1.04,0.000,4133
crude_2visit,vri,baseline_firsttest,age_bl,0.22,0.03,0.000,4133
crude_2visit,vri,baseline_firsttest,I(age_bl^2),0.00,0.00,0.000,4133
crude_2visit,vri,baseline_firsttest,sex_labelMen,2.62,1.62,0.106,4133
crude_2visit,vri,baseline_firsttest,age_bl:sex_labelMen,-0.08,0.05,0.129,4133
crude_2visit,vri,baseline_firsttest,I(age_bl^2):sex_labelMen,0.00,0.00,0.134,4133
crude_2visit,vri,first_followup_retest,(Intercept),6.15,1.38,0.000,4133
crude_2visit,vri,first_followup_retest,age_fu1,0.23,0.04,0.000,4133
crude_2visit,vri,first_followup_retest,I(age_fu1^2),0.00,0.00,0.000,4133
crude_2visit,vri,first_followup_retest,sex_labelMen,3.65,2.15,0.089,4133
crude_2visit,vri,first_followup_retest,age_fu1:sex_labelMen,-0.11,0.07,0.101,4133
crude_2visit,vri,first_followup_retest,I(age_fu1^2):sex_labelMen,0.00,0.00,0.101,4133
crude_2visit,vrr,baseline_firsttest,(Intercept),2.97,0.37,0.000,3857
crude_2visit,vrr,baseline_firsttest,age_bl,0.05,0.01,0.000,3857
crude_2visit,vrr,baseline_firsttest,I(age_bl^2),0.00,0.00,0.000,3857
crude_2visit,vrr,baseline_firsttest,sex_labelMen,0.48,0.59,0.419,3857
crude_2visit,vrr,baseline_firsttest,age_bl:sex_labelMen,-0.02,0.02,0.211,3857
crude_2visit,vrr,baseline_firsttest,I(age_bl^2):sex_labelMen,0.00,0.00,0.099,3857
crude_2visit,vrr,first_followup_retest,(Intercept),2.66,0.50,0.000,3857
crude_2visit,vrr,first_followup_retest,age_fu1,0.06,0.01,0.000,3857
crude_2visit,vrr,first_followup_retest,I(age_fu1^2),0.00,0.00,0.000,3857
crude_2visit,vrr,first_followup_retest,sex_labelMen,0.92,0.80,0.246,3857
crude_2visit,vrr,first_followup_retest,age_fu1:sex_labelMen,-0.03,0.02,0.252,3857
crude_2visit,vrr,first_followup_retest,I(age_fu1^2):sex_labelMen,0.00,0.00,0.224,3857
